Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
1999,"Nephritis (N00-N07,N17-N19)",Kidney disease,Alabama,3677,160.1
1999,"Accidents (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,16580,147.4
1999,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,12104,191.4
1999,Alzheimer disease (G30),Alzheimer’s disease,Alabama,5983,143.2
1999,"Nephritis (N00-N07,N17-N19)",Kidney disease,Alabama,4428,98.7
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,5800,146.9
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,4640,134.6
1999,All causes (A00-Y89),All causes,Alabama,19469,234.1
1999,Alzheimer disease (G30),Alzheimer’s disease,Alabama,13081,164.6
1999,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,3636,117.8
2000,Malignant neoplasms (C00-C97),Cancer,Alabama,7500,253.8
2000,Malignant neoplasms (C00-C97),Cancer,Alabama,8796,221.8
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,3694,109.4
2000,Cerebrovascular diseases (I60-I69),Stroke,Alabama,3011,141.1
2000,Cerebrovascular diseases (I60-I69),Stroke,Alabama,1383,143.8
2000,Diabetes mellitus (E10-E14),Diabetes,Alabama,5199,182.8
2000,"Nephritis (N00-N07,N17-N19)",Kidney disease,Alabama,4251,115
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,4041,249.3
2001,"Intentional self-harm (X60-X84,Y87.0)",Suicide,Alabama,3484,97.6
2001,"Accidents (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,4778,156
2001,"Intentional self-harm (X60-X84,Y87.0)",Suicide,Alabama,2700,95.6
2001,Diabetes mellitus (E10-E14),Diabetes,Alabama,5164,136.6
2001,Cerebrovascular diseases (I60-I69),Stroke,Alabama,4828,100.9
2001,"Accidents (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,5964,163.4
2001,Diabetes mellitus (E10-E14),Diabetes,Alabama,3869,128.1
2001,Alzheimer disease (G30),Alzheimer’s disease,Alabama,3719,190.1
2001,Cerebrovascular diseases (I60-I69),Stroke,Alabama,4063,170.9
2001,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,6062,113.2
2001,All causes (A00-Y89),All causes,Alabama,5502,244.9
2001,"Accidents (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,6713,144.1
2001,"Intentional self-harm (X60-X84,Y87.0)",Suicide,Alabama,3014,92.4
2001,Malignant neoplasms (C00-C97),Cancer,Alabama,7819,195.5
2002,Alzheimer disease (G30),Alzheimer’s disease,Alabama,4306,114
2002,Alzheimer disease (G30),Alzheimer’s disease,Alabama,9351,152.4
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,8651,129.5
