Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2016,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  8,215",143.4
2017,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  8,148",148.3
2009,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  7,992",151.6
2007,All Causes,All causes,Alabama,"  7,841",146.0
2000,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  7,352",171.1
2008,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,578",147.5
2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  7,384",168.3
2009,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  7,632",152.0
1999,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  6,985",176.3
1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  8,096",169.1
2017,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  8,611",130.5
2000,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,722",165.3
2015,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  8,958",136.3
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  7,837",140.5
2007,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  7,269",149.7
2008,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  8,015",153.7
2011,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  8,135",140.6
2015,All Causes,All causes,Alabama,"  7,897",146.1
2005,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  7,455",157.6
2010,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  7,194",145.9
2007,Malignant neoplasms (C00-C97),Cancer,Alabama,"  7,671",154.6
2012,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  7,735",150.6
2009,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  7,785",149.9
2002,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  7,194",167.8
2005,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  7,653",153.5
2001,Malignant neoplasms (C00-C97),Cancer,Alabama,"  7,171",167.2
2004,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  7,423",163.9
2003,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  7,737",168.0
2011,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  7,992",141.4
2003,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  8,182",170.3
2000,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  7,029",175.7
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  8,505",143.2
2014,All Causes,All causes,Alabama,"  7,745",135.4
2008,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  7,153",146.8
1999,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,504",172.4
2003,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,567",157.5
2016,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  8,487",148.2
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  7,519",144.6
2015,Malignant neoplasms (C00-C97),Cancer,Alabama,"  8,811",140.9
2017,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  7,936",142.3
2017,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  8,710",143.9
2014,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  8,444",143.9
2003,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  7,620",164.7
2000,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  7,590",170.1
2005,Malignant neoplasms (C00-C97),Cancer,Alabama,"  7,396",159.8
2015,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  7,146",143.3
2006,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  6,985",154.6
2001,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,283",164.9
2014,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  8,314",134.5
2010,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  8,395",142.7
2004,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,364",160.3
2015,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,718",146.2
2014,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  8,958",144.7
2012,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  8,097",140.2
2007,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  6,591",149.2
2015,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  8,498",134.8
2010,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,857",146.5
2017,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  8,462",140.0
2000,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  7,432",161.8
2004,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,840",165.3
2005,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  7,672",163.9
2004,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  8,000",161.1
1999,Malignant neoplasms (C00-C97),Cancer,Alabama,"  8,037",169.6
2016,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  8,206",135.3
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  7,653",136.3
2010,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  6,849",145.6
2011,All Causes,All causes,Alabama,"  7,820",148.9
2005,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  7,141",171.8
2007,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  7,205",153.0
2001,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  7,553",166.4
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  7,545",144.7
2016,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  8,650",145.2
2007,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,742",147.5
2008,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  7,357",153.5
2005,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  7,668",160.9
2009,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  7,732",140.6
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  8,107",135.1
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  7,747",149.7
2006,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  6,676",152.3
2009,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,113",143.7
2006,Malignant neoplasms (C00-C97),Cancer,Alabama,"  7,514",157.7
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  7,790",136.7
2002,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,667",169.3
2016,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  8,034",146.0
2014,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  8,272",136.0
2004,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  6,984",154.4
2017,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  8,719",146.9
2015,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  8,133",138.2
2008,Malignant neoplasms (C00-C97),Cancer,Alabama,"  7,299",157.5
2017,Malignant neoplasms (C00-C97),Cancer,Alabama,"  8,863",135.0
2005,All Causes,All causes,Alabama,"  6,526",160.0
2002,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  7,140",174.5
2013,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  8,334",135.9
2011,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  8,152",141.6
2013,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  7,752",148.2
2006,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,567",154.8
2016,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  8,250",141.3
2000,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,982",166.2
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  7,499",144.1
2010,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  7,487",143.7
2003,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  7,777",170.3
2005,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  6,693",164.8
2002,Malignant neoplasms (C00-C97),Cancer,Alabama,"  8,183",162.6
2007,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,955",151.8
2012,All Causes,All causes,Alabama,"  7,653",144.9
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  7,706",140.4
2004,All Causes,All causes,Alabama,"  7,373",155.4
2011,Malignant neoplasms (C00-C97),Cancer,Alabama,"  7,795",142.3
2013,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,998",146.9
2012,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,417",142.3
2002,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  7,665",167.4
2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  7,602",169.3
2001,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,Alabama,"  7,209",169.4
2001,Diabetes mellitus (E10-E14),Diabetes,Alabama,"  7,130",168.9
2002,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  7,427",159.5
2015,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  8,249",146.2
2006,All Causes,All causes,Alabama,"  6,675",159.4
2001,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  8,013",173.5
2015,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,524",136.9
2014,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  8,617",145.1
2002,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,Alabama,"  6,777",159.1
2013,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  7,704",143.0
2015,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  8,210",149.8
2012,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,841",140.1
2013,Cerebrovascular diseases (I60-I69),Stroke,Alabama,"  7,986",137.3
2006,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  8,111",149.3
2000,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  6,907",177.4
2014,Chronic lower respiratory diseases (J40-J47),CLRD,Alabama,"  7,663",141.3
2007,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  7,859",145.1
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  7,844",140.2
2008,Influenza and pneumonia (J09-J18),Influenza and pneumonia,Alabama,"  8,072",143.2
1999,Alzheimer's disease (G30),Alzheimer's disease,Alabama,"  7,628",166.8
2009,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,Alabama,"  6,844",148.8
1999,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,Alabama,"  7,913",172.2
2016,Malignant neoplasms (C00-C97),Cancer,Alabama,"  8,295",137.3
